# Dinsmoor. William Bell. 1931. The Archons of Athens in the Hellenistic Age.
# Cambridge: Harvard University Press.
# http://archive.org/details/archonsofathensi0000dins.
432 July  15 + He
    June  16 + Sk
    July  16 + He
    Aug.  15 - Me
    Sept. 13 + Bo
    Oct.  13 - Py
    Nov.  11 + Ma
    Dec.  11 - Po
374 Jan.   9 + Ga
    Feb.   8 - An
    March  9 + El
    April  8 + Mo
    May    8 - Th
    June   6 + Sk
    July   6 - He
    Aug.   4 + Me
    Sept.  3 - Bo
    Oct.   2 + Py
    Nov.   1 - Ma
    Nov.  30 + Po
    Dec.  30 - Po
373 Jan.  28 + Ga
    Feb.  27 - An
    March 27 + El
    April 26 - Mo
    May   25 + Th
    June  24 + Sk
    July  24 - He
    Aug.  22 + Me
    Sept. 21 - Bo
    Oct.  20 + Py
    Nov.  19 - Ma
    Dec.  18 + Po
372 Jan.  17 - Ga
    Feb.  15 + An
    March 17 - El
    April 15 + Mo
    May   15 - Th
    June  13 + Sk
    July  13 - He
    Aug.  11 + Me
    Sept. 10 - Bo
    Oct.   9 + Py
    Nov.   8 + Ma
    Dec.   8 - Po
371 Jan.   6 + Ga
    Feb.   5 - An
    March  6 + El
    April  5 - Mo
    May    4 + Th
    June   3 - Sk
    July   2 + He
    Aug.   1 - Me
    Aug.  30 + Bo
    Sept. 29 - Py
    Oct.  28 + Ma
    Nov.  27 - Po
    Dec.  26 + Po
370 Jan.  25 + Ga
    Feb.  24 - An
    March 25 + El
    April 24 - Mo
    May   23 + Th
    June  22 - Sk
    July  21 + He
    Aug.  20 - Me
    Sept. 18 + Bo
    Oct.  18 - Py
    Nov.  16 + Ma
    Dec.  16 - Po
369 Jan.  14 + Ga
    Feb.  13 - An
    March 13 + El
    April 12 - Mo
    May   11 + Th
    June  10 + Sk
    July  10 - He
    Aug.   8 + Me
    Sept.  7 - Bo
    Oct.   6 + Py
    Nov.   5 - Ma
    Dec.  16 - Po
368 Jan.   3 - Ga
    Feb.   1 + An
    March  3 - El
    April  1 + Mo
    May    1 - Th
    May   30 + Sk
    June  29 - He
    July  28 + Me
    Aug.  27 + Bo
    Sept. 26 - Py
    Oct.  25 + Ma
    Nov.  24 - Po
    Dec.  23 + Po
367 Jan.  22 - Ga
    Feb.  20 + An
    March 22 - El
    April 20 + Mo
    May   20 - Th
    June  18 + Sk
    July  18 - He
    Aug.  16 + Me
    Sept. 15 - Bo
    Oct.  14 + Py
    Nov.  13 - Ma
    Dec.  12 + Po
366 Jan.  11 + Ga
    Feb.  10 - An
    March 11 + El
    April 10 - Mo
    May    9 + Th
    June   8 - Sk
    July   7 + He
    Aug.   6 - Me
    Sept.  4 + Bo
    Oct.   4 - Py
    Nov.   2 + Ma
    Dec.   2 - Po
    Dec.  31 + Po
365 Jan.  30 - Ga
    Feb.  28 + An
    March 29 + El
    April 28 - Mo
    May   27 + Th
    June  26 - Sk
    July  25 + He
    Aug.  24 - Me
    Sept. 22 + Bo
    Oct.  22 - Py
    Nov.  20 + Ma
    Dec.  20 - Po
364 Jan.  18 + Ga
    Feb.  17 - An
    March 18 + El
    April 17 - Mo
    May   16 + Th
    June  15 - Sk
    July  14 + He
    Aug.  13 + Me
    Sept. 12 - Bo
    Oct.  11 + Py
    Nov.  10 - Ma
    Dec.   9 + Po
363 Jan.   8 - Ga
    Feb.   6 + An
    March  8 - El
    April  6 + Mo
    May    6 - Th
    June   4 + Sk
    July   4 - He
    Aug.   2 + Me
    Sept.  1 - Bo
    Sept. 30 + Py
    Oct.  30 + Ma
    Nov.  29 - Po
    Dec.  28 + Po
362 Jan.  27 - Ga
    Feb.  25 + An
    March 27 - El
    April 25 + Mo
    May   25 - Th
    June  23 + Sk
    July  23 - He
    Aug.  21 + Me
    Sept. 20 - Bo
    Oct.  19 + Py
    Nov.  18 - Ma
    Dec.  17 + Po
361 Jan.  16 - Ga
    Feb.  14 + An
    March 15 + El
    April 14 - Mo
    May   13 + Th
    June  12 - Sk
    July  11 + He
    Aug.  10 - Me
    Sept.  8 + Bo
    Oct.   8 - Py
    Nov.   6 + Ma
    Dec.   6 - Po
360 Jan.   4 + Ga
    Feb.   3 - An
    March  4 + El
    April  3 - Mo
    May    2 + Th
    June   1 - Sk
    June  30 + He
    July  30 + Me
    Aug.  29 - Bo
    Sept. 27 + Py
    Oct.  27 - Ma
    Nov.  25 + Po
    Dec.  25 - Po
359 Jan.  23 + Ga
    Feb.  22 - An
    March 23 + El
    April 22 - Mo
    May   21 + Th
    June  20 - Sk
    July  19 + He
    Aug.  18 - Me
    Sept. 16 + Bo
    Oct.  16 + Py
    Nov.  15 - Ma
    Dec.  14 + Po
