"year"	"year_bce"	"intercalary"	"begins"	"ends"	"length"	"solstice"	"months"	"month_lengths"	"prytanies"
-329	"330/329 BCE"	"I"	"BCE 0330-Jun-30"	"BCE 0329-Jul-17"	384	"BCE 0330-Jun-28"	"Jun-30 Jul-29 Aug-28 Sep-26 Oct-26 Nov-25 Dec-25 Jan-23 Feb-22 Mar-22 Apr-21 May-20 Jun-18"	"hFhFFFhFhFhhF"	"Jun-30 Aug-08 Sep-16 Oct-25 Dec-03 Jan-10 Feb-17 Mar-26 May-03 Jun-10"
-328	"329/328 BCE"	"O"	"BCE 0329-Jul-18"	"BCE 0328-Jul-06"	354	"BCE 0329-Jun-27"	"Jul-18 Aug-16 Sep-14 Oct-14 Nov-13 Dec-13 Jan-11 Feb-10 Mar-12 Apr-10 May-10 Jun-08"	"hhFFFhFFhFhh"	"Jul-18 Aug-23 Sep-28 Nov-03 Dec-09 Jan-13 Feb-17 Mar-24 Apr-28 Jun-02"
-327	"328/327 BCE"	"I"	"BCE 0328-Jul-07"	"BCE 0327-Jul-25"	384	"BCE 0328-Jun-27"	"Jul-07 Aug-06 Sep-04 Oct-03 Nov-02 Dec-02 Dec-31 Jan-30 Mar-01 Mar-31 Apr-29 May-29 Jun-27"	"FhhFFhFFFhFhh"	"Jul-07 Aug-15 Sep-23 Nov-01 Dec-10 Jan-17 Feb-24 Apr-03 May-11 Jun-18"
-326	"327/326 BCE"	"O"	"BCE 0327-Jul-26"	"BCE 0326-Jul-15"	355	"BCE 0327-Jun-28"	"Jul-26 Aug-25 Sep-23 Oct-22 Nov-21 Dec-21 Jan-19 Feb-18 Mar-20 Apr-18 May-18 Jun-16"	"FhhFFhFFhFhF"	"Jul-26 Aug-31 Oct-06 Nov-11 Dec-17 Jan-21 Feb-25 Apr-01 May-06 Jun-10"
-325	"326/325 BCE"	"O"	"BCE 0326-Jul-16"	"BCE 0325-Jul-03"	354	"BCE 0326-Jun-28"	"Jul-16 Aug-14 Sep-13 Oct-12 Nov-10 Dec-10 Jan-08 Feb-07 Mar-08 Apr-06 May-06 Jun-05"	"hFhhFhFFhFFh"	"Jul-16 Aug-21 Sep-26 Nov-01 Dec-07 Jan-11 Feb-15 Mar-21 Apr-25 May-30"
-324	"325/324 BCE"	"I"	"BCE 0325-Jul-04"	"BCE 0324-Jul-22"	384	"BCE 0325-Jun-27"	"Jul-04 Aug-03 Sep-01 Oct-01 Oct-30 Nov-29 Dec-28 Jan-26 Feb-25 Mar-26 Apr-25 May-25 Jun-23"	"FhFhFhhFhFFhF"	"Jul-04 Aug-12 Sep-20 Oct-29 Dec-07 Jan-14 Feb-21 Mar-31 May-08 Jun-15"
-323	"324/323 BCE"	"O"	"BCE 0324-Jul-23"	"BCE 0323-Jul-11"	354	"BCE 0324-Jun-27"	"Jul-23 Aug-22 Sep-20 Oct-20 Nov-18 Dec-18 Jan-16 Feb-15 Mar-16 Apr-14 May-14 Jun-12"	"FhFhFhFhhFhF"	"Jul-23 Aug-28 Oct-03 Nov-08 Dec-14 Jan-18 Feb-22 Mar-29 May-03 Jun-07"
-322	"323/322 BCE"	"O"	"BCE 0323-Jul-12"	"BCE 0322-Jun-30"	354	"BCE 0323-Jun-28"	"Jul-12 Aug-11 Sep-09 Oct-09 Nov-08 Dec-07 Jan-06 Feb-04 Mar-06 Apr-04 May-03 Jun-02"	"FhFFhFhFhhFh"	"Jul-12 Aug-17 Sep-22 Oct-28 Dec-03 Jan-07 Feb-11 Mar-18 Apr-22 May-27"
-321	"322/321 BCE"	"I"	"BCE 0322-Jul-01"	"BCE 0321-Jul-18"	384	"BCE 0322-Jun-28"	"Jul-01 Jul-31 Aug-29 Sep-28 Oct-28 Nov-27 Dec-26 Jan-25 Feb-23 Mar-24 Apr-22 May-21 Jun-20"	"FhFFFhFhFhhFh"	"Jul-01 Aug-09 Sep-17 Oct-26 Dec-04 Jan-11 Feb-18 Mar-27 May-04 Jun-11"
-320	"321/320 BCE"	"O"	"BCE 0321-Jul-19"	"BCE 0320-Jul-07"	354	"BCE 0321-Jun-27"	"Jul-19 Aug-17 Sep-16 Oct-16 Nov-15 Dec-14 Jan-13 Feb-12 Mar-13 Apr-12 May-11 Jun-09"	"hFFFhFFhFhhh"	"Jul-19 Aug-24 Sep-29 Nov-04 Dec-10 Jan-14 Feb-18 Mar-25 Apr-29 Jun-03"
